,Region,Coordinates
0,'s-Gravenbrakel (Braine-le-Comte),"[50.6057582, 4.1382245]"
1,Aarlen (Arlon),"[49.680415, 5.8095313]"
2,Aat (Ath),"[50.6288684, 3.785318027789082]"
3,Aiseau-Presles,"[50.4163581, 4.5711984]"
4,Amay,"[50.5497761, 5.3240992]"
5,Amel,"[50.3543055, 6.1705559]"
6,Andenne,"[50.4893981, 5.0965468]"
7,Anderlues,"[50.4079969, 4.2696102]"
8,Anhée,"[50.3101511, 4.8776042]"
9,Ans,"[50.6679862, 5.5077543]"
10,Anthisnes,"[50.481662, 5.5225261]"
11,Antoing,"[50.5659549, 3.4511246]"
12,Assesse,"[50.3718261, 5.0217639]"
13,Attert,"[49.7514982, 5.7872217]"
14,Aubange,"[49.5671953, 5.8044993]"
15,Aubel,"[50.7041498, 5.8585553]"
16,Awans,"[50.6669712, 5.4620018]"
17,Aywaille,"[50.4758998, 5.6763249]"
18,Baelen,"[50.6312854, 5.9713469]"
19,Bastenaken (Bastogne),"[50.8626088, 4.3166496]"
20,Beaumont,"[50.2355294, 4.2383115]"
21,Beauraing,"[50.1101971, 4.9567402]"
22,Belœil,"[50.5479197, 3.7361279]"
23,Bergen (Mons),"[50.4540878, 3.9418533]"
24,Berloz,"[50.6978415, 5.2140163]"
25,Bernissart,"[50.475502, 3.6504677]"
26,Bertogne,"[50.0842908, 5.6675577]"
27,Bertrix,"[49.8546564, 5.2529266]"
28,Bevekom (Beauvechain),"[50.7808981, 4.7717304]"
29,Beyne-Heusay,"[50.6220566, 5.6534141]"
30,Bièvre,"[49.9411216, 5.0168496]"
31,Binche,"[50.4103004, 4.165163]"
32,Bitsingen (Bassenge),"[50.7583596, 5.6094772]"
33,Blegny,"[50.6727185, 5.7252372]"
34,Blieberg (Plombières),"[50.7377318, 5.9611134]"
35,Borgworm (Waremme),"[50.6946489, 5.2496619]"
36,Bouillon,"[49.7949836, 5.0672528]"
37,Boussu,"[50.4331253, 3.7960902]"
38,Braives,"[50.6300711, 5.1435257]"
39,Brugelette,"[50.5959261, 3.8525914]"
40,Büllingen,"[50.4075533, 6.257827]"
41,Brunehaut,"[50.5175505, 3.3873003]"
42,Burdinne,"[50.5812607, 5.072436]"
43,Burg-Reuland,"[50.1967468, 6.1342559]"
44,Bütgenbach,"[50.4267259, 6.2053573]"
45,Celles,"[50.7125435, 3.4571664]"
46,Cerfontaine,"[50.1687764, 4.4125932]"
47,Chapelle-lez-Herlaimont,"[50.4713265, 4.2804202]"
48,Charleroi,"[50.4120332, 4.4436244]"
49,Chastre,"[50.6103813, 4.6441773]"
50,Châtelet,"[50.4046075, 4.5243511]"
51,Chaudfontaine,"[50.5847922, 5.6469688]"
52,Chaumont-Gistoux,"[50.6839808, 4.6974182]"
53,Chièvres,"[50.5879821, 3.8056885]"
54,Chimay,"[50.0479266, 4.3173338]"
55,Chiny,"[49.738581, 5.3394252]"
56,Ciney,"[50.2964911, 5.1008664]"
