,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,'s-Gravenbrakel (Braine-le-Comte),50.6057582,4.1382245,hof te spieringen,50.754791067901756,4.0456906711802505,Bed & Breakfast
1,'s-Gravenbrakel (Braine-le-Comte),50.6057582,4.1382245,Zevenbronnen - Sept Fontaines,50.73451202985384,4.335727250510041,Scenic Lookout
2,'s-Gravenbrakel (Braine-le-Comte),50.6057582,4.1382245,Petit Train du Bonheur,50.66105687659515,4.134471341962029,Scenic Lookout
3,'s-Gravenbrakel (Braine-le-Comte),50.6057582,4.1382245,Bed & Breakfast Wisteria,50.72560600627677,4.019615757555666,Bed & Breakfast
4,'s-Gravenbrakel (Braine-le-Comte),50.6057582,4.1382245,KUBUS,50.73223601362679,4.036421370285197,Scenic Lookout
5,'s-Gravenbrakel (Braine-le-Comte),50.6057582,4.1382245,B&B Kaai 16,50.733389352382346,4.239343602465682,Bed & Breakfast
6,'s-Gravenbrakel (Braine-le-Comte),50.6057582,4.1382245,Villa D'Elbeek,50.74413291419269,4.2008095281950375,Bed & Breakfast
7,'s-Gravenbrakel (Braine-le-Comte),50.6057582,4.1382245,Boesmolen,50.73524776157615,4.0261122228193,Scenic Lookout
8,'s-Gravenbrakel (Braine-le-Comte),50.6057582,4.1382245,Shelter Studio’s,50.75090954657543,4.2585610342169975,Bed & Breakfast
9,'s-Gravenbrakel (Braine-le-Comte),50.6057582,4.1382245,Belvédère des Bisons,50.58361810457726,3.882122039794922,Scenic Lookout
10,'s-Gravenbrakel (Braine-le-Comte),50.6057582,4.1382245,Bruine Put,50.73663962161036,4.295384338642111,Scenic Lookout
11,'s-Gravenbrakel (Braine-le-Comte),50.6057582,4.1382245,Sint-Martinusbasiliek,50.73667542070143,4.237409582248679,Church
12,'s-Gravenbrakel (Braine-le-Comte),50.6057582,4.1382245,Rigaux 1878 Gasthof,50.71779259634111,3.9429581862245446,Bed & Breakfast
13,'s-Gravenbrakel (Braine-le-Comte),50.6057582,4.1382245,Hof Ter Haegen,50.75704487463152,4.0086326524426195,Bed & Breakfast
14,'s-Gravenbrakel (Braine-le-Comte),50.6057582,4.1382245,Hof ter Wilgen,50.73386554614379,3.9394700040117434,Bed & Breakfast
15,'s-Gravenbrakel (Braine-le-Comte),50.6057582,4.1382245,Haumautveld,50.71833931867622,3.9522204395079448,Farm
16,'s-Gravenbrakel (Braine-le-Comte),50.6057582,4.1382245,Pelikaanberg,50.771688161551616,4.188223878579952,Scenic Lookout
17,Aarlen (Arlon),49.680415,5.8095313,Chateau de Hollenfels,49.712293185049454,6.050950984545179,Scenic Lookout
18,Aarlen (Arlon),49.680415,5.8095313,Relax & Cook,49.61138419161723,5.817692628504734,Bed & Breakfast
19,Aat (Ath),50.6288684,3.785318027789082,Hakuna Matata,50.762061637055844,3.925631410205225,Bed & Breakfast
20,Aat (Ath),50.6288684,3.785318027789082,Oudeberg,50.773305130661385,3.8915183408630263,Scenic Lookout
21,Aat (Ath),50.6288684,3.785318027789082,Belvédère des Bisons,50.58361810457726,3.882122039794922,Scenic Lookout
22,Aat (Ath),50.6288684,3.785318027789082,Steengroeve Uitkijkpost,50.712606,3.850799,Scenic Lookout
23,Aat (Ath),50.6288684,3.785318027789082,Carrières de Lessines,50.71644368398418,3.850900148670179,Scenic Lookout
24,Aat (Ath),50.6288684,3.785318027789082,Rigaux 1878 Gasthof,50.71779259634111,3.9429581862245446,Bed & Breakfast
25,Aat (Ath),50.6288684,3.785318027789082,Molen ter Walle,50.76596580085069,3.828594046070352,Bed & Breakfast
26,Aat (Ath),50.6288684,3.785318027789082,Hof ter Wilgen,50.73386554614379,3.9394700040117434,Bed & Breakfast
27,Aat (Ath),50.6288684,3.785318027789082,Hof ter Guchten,50.741511371155106,3.63367302089564,Bed & Breakfast
28,Aat (Ath),50.6288684,3.785318027789082,Hotel-Restaurant Molenwiek,50.77823391393886,3.803196438340399,Bed & Breakfast
29,Aat (Ath),50.6288684,3.785318027789082,B&B Het Stille Genoegen,50.77597589255942,3.7363895919559047,Bed & Breakfast
30,Aat (Ath),50.6288684,3.785318027789082,Haumautveld,50.71833931867622,3.9522204395079448,Farm
31,Aat (Ath),50.6288684,3.785318027789082,B&B De Groene Weg,50.788225198898225,3.763681054115295,Bed & Breakfast
32,Aat (Ath),50.6288684,3.785318027789082,Wambashoeve,50.7740621133462,3.9089299621497937,Bed & Breakfast
33,Aat (Ath),50.6288684,3.785318027789082,B&B De Brakelhoen,50.79356388038302,3.7687738315374464,Bed & Breakfast
34,Aat (Ath),50.6288684,3.785318027789082,adelaide,50.74845358834433,3.598018762376092,Bed & Breakfast
35,Aat (Ath),50.6288684,3.785318027789082,Huis Minne,50.76727272473181,3.628185346478024,Bed & Breakfast
36,Aat (Ath),50.6288684,3.785318027789082,Den Ahthayet,50.78081377512333,3.9128320130495813,Bed & Breakfast
37,Aat (Ath),50.6288684,3.785318027789082,Parikeberg,50.78198053839766,3.8006134971858505,Scenic Lookout
38,Aat (Ath),50.6288684,3.785318027789082,Le Paysage Poetique: Chambres & Tables D'Hotel,50.70268043465519,3.5325054861630525,Bed & Breakfast
